"ISBN","Title","Author","PublicationYear","Publisher","ImageURL","Description","Price","Rating"
"038078243X","Miss Zukas and the Raven's Dance","Jo Dereske","1996","Avon","http://images.amazon.com/images/P/038078243X.01.LZZZZZZZ.jpg","A most unusual death has landed Helma Zukas right in the middle of another murder scene. Stanley Plummer had been cataloguing a collection of Native American books for Bellehaven's new Cultural Center when his body was found in the Center's ladies room - stabbed through the heart, and clutching a Barbie doll.","5.51","5"
"042518630X","Purity in Death","J.D. Robb","2002","Berkley Publishing Group","http://images.amazon.com/images/P/042518630X.01.LZZZZZZZ.jpg","Louie Cogburn had spent three days holed up in his apartment, staring at his computer screen. His pounding headache was unbearable - it felt like spikes drilling into his brain. And it was getting worse. Finally, when someone knocked at his door, Louie picked up a baseball bat, opened up the door, and started swinging....","10.99","5"
"055321215X","Pride and Prejudice","Jane Austen","1983","Bantam","https://m.media-amazon.com/images/I/71Q1tPupKjL.jpg","Set in England in the early 19th century, Pride and Prejudice tells the story of Mr and Mrs Bennet's five unmarried daughters after the rich and eligible Mr Bingley and his status-conscious friend, Mr Darcy, have moved into their neighbourhood. While Bingley takes an immediate liking to the eldest Bennet daughter, Jane, Darcy has difficulty adapting to local society and repeatedly clashes with the second-eldest Bennet daughter, Elizabeth.","17.99","5"
"067176537X","The Therapeutic Touch ","Dolores Krieger","1979","Fireside","http://images.amazon.com/images/P/067176537X.01.LZZZZZZZ.jpg","Whether it be to relieve a headache, calm a muscle spasm, soothe a crying baby, or alleviate your own abdominal cramps. The Therapeutic Touch shows you how you can use your hands to help or to heal someone who is sick.","18.45","5"
"074322678X","Where You'll Find Me","Ann Beattie","2002","Scribner","http://images.amazon.com/images/P/074322678X.01.LZZZZZZZ.jpg","Hailed by the Washington Post Book World as one of our era's most vital masters of the short form, Ann Beattie offers readers unforgettable glimpses of people coming to terms with the world around them.","68.99","4"
"080652121X","Hitler's Secret Bankers","Adam Lebor","2000","Citadel Press","http://images.amazon.com/images/P/080652121X.01.LZZZZZZZ.jpg","No death certificates were issued at Auschwitz, but today Swiss bankers still demand them before they will release to relatives the assets of account holders killed in the Holocaust. Based on newly declassified documents and archival research, Hitler's Secret Banks reveals the full, hitherto unknown extent of Swiss economic collaboration with the Nazis.","57.21","4"
"1552041778","Jane Doe","R. J. Kaiser","1999","Mira Books","http://images.amazon.com/images/P/1552041778.01.LZZZZZZZ.jpg","Jane’s days at a Midwest insurance company are perfectly ordinary. She blends in well, unremarkably pretty in her floral-print dresses and extra efficient at her low-level job. She’s just the kind of woman middle manager Steven Hepsworth likes—meek, insecure, and willing to defer to a man. No one has any idea who Jane really is. Least of all Steven.","18.28","4"
"1558746218","A Second Chicken Soup for the Woman's Soul","Jack Canfield","1998","Health Communications","http://images.amazon.com/images/P/1558746218.01.LZZZZZZZ.jpg","This latest collection of stories celebrates the shared experiences of being a woman in a 101 new ways. You will be moved by these true accounts of how women like you have embraced life's defining moments by finding love, dealing with loss, overcoming obstacles and achieving their dreams and goals. Like spending time with a trusted friend, A Second Chicken Soup for the Woman's Soul will put difficult times into perspective, renew your faith in yourself and make you aware of the miracles in your own life.","34.99","4"
"1567407781","The Witchfinder ","Loren D. Estleman","1998","Brilliance Audio - Trade","http://images.amazon.com/images/P/1567407781.01.LZZZZZZZ.jpg","In seventeenth-century England witchfinders were bearers of false witness - and were paid handsomely for their lies. In twentieth-century America the pickings are easier, and the pay has gone through the roof. Now, a world-renowned architect, a man thought to be dying in a Los Angeles hospital, has called Amos Walker to a hotel room at Detroit Metropolitan Airport, to find the person who engineered a heartbreaking lie - and cost the architect the one woman he truly loved.","25.25","4"
"1575663937","More Cunning Than Man","Robert Hendrickson","1999","Kensington Publishing Corp.","http://images.amazon.com/images/P/1575663937.01.LZZZZZZZ.jpg","Filled with rat attack stories, strange tales of elderly women living with rats, and other interesting information, a fascinating foray into the world of the rat examines the way these creatures have survived through the ages despite many attempts to annihilate them.","128.45","4"
"1841721522","New Vegetarian","Celia Brooks Brown","2001","Ryland Peters &amp; Small Ltd","http://images.amazon.com/images/P/1841721522.01.LZZZZZZZ.jpg","Here, innovative young chef Celia Brooks Brown gives meat-free cooking a new lease of life. From quick weekday lunches, snacks, and dinners to sophisticated dinner parties, you'll find a feast of delicious recipes for every occasion. Inspired by the great vegetarian cuisines of Asia and the Middle East, as well as the Mediterranean, ""New Vegetarian"" is bold, bright, and beautiful. ","12.55","4"
"1879384493","If I'd Known Then What I Know Now","J. R. Parrish","2003","Cypress House","http://images.amazon.com/images/P/1879384493.01.LZZZZZZZ.jpg","If I'd Known Then What I Know Now is an inspiring, Pay It Forward-type manifesto for achieving success and happiness from childhood to retirement. Equally suitable for anyone from eight to eighty, it is actually a life guide or map that will help the reader traverse the roads of life, showing how to avoid the mindfields and grab the gold ring by making the best choices when facing life's most important decisions. ","17.57","4"
"1881320189","Goodbye to the Buttermilk Sky","Julia Oliver","1994","River City Pub","https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328010518l/2438323.jpg","A beautifully narrated novel of time and place, Goodbye to the Buttermilk Sky re-creates a southern summer when the depression and the boll weevil turned hopes to dust. With the extraordinary talent to make the reader see the Ball canning jars on the kitchen table, hear the clicks on the party line, and feel the bittersweet moments of 20-year-old Callie Tatum's first experiences with adult desire, Oliver portrays a young wife’s increasingly dangerous infidelity with cinematic precision and palpable suspense.","18.39","4"
"195153448","Classical Mythology","Mark P. O. Morford","2002","Oxford University Press","http://images.amazon.com/images/P/0195153448.01.LZZZZZZZ.jpg","Building on the bestselling tradition of previous editions, Classical Mythology, Tenth Edition, is the most comprehensive survey of classical mythology available--and the first full-color textbook of its kind. Featuring the authors' clear and extensive translations of original sources, it brings to life the myths and legends of Greece and Rome in a lucid and engaging style.","140.99","3"
"2005018","Clara Callan","Richard Bruce Wright","2001","HarperFlamingo Canada","http://images.amazon.com/images/P/0002005018.01.LZZZZZZZ.jpg","Clara Callan is set in the middle of the Great Depression, chronicling the lives of two sisters.Clara is a spinsterish school teacher whose quiet life in a small Ontario town masks a passion for love and adventure.Nora, her flighty and very pretty sister, travels to New York where she lands a starring role in a radio soap opera.","39.96","3"
